end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2017,3,,2017-03-01,1,259940.0,56050.0,24759285.0,5338762.5
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2017,2,11260.23,2017-02-01,1,288030.0,57600.0,27434857.5,5486400.0
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2017,1,11286.07,2017-01-01,1,286410.0,57510.0,27280552.5,5477827.5
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,12,8929.39,2016-12-01,4,276230.0,50690.0,26310907.5,4828222.5
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,11,5219.28,2016-11-01,4,160040.0,30700.0,15243810.0,2924175.0
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,10,5472.28,2016-10-01,4,223800.0,34730.0,21316950.0,3308032.5
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,9,5818.67,2016-09-01,3,168200.0,35860.0,16021050.0,3415665.0
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,8,4718.5,2016-08-01,3,141170.0,28560.0,13446442.5,2720340.0
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,7,5611.12,2016-07-01,3,167360.0,32880.0,15941040.0,3131820.0
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,6,3655.37,2016-06-01,2,114080.0,22530.0,10866120.0,2145982.5
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,5,4832.53,2016-05-01,2,152470.0,27470.0,14522767.5,2616517.5
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,4,3975.43,2016-04-01,2,133730.0,24310.0,12737782.5,2315527.5
201703,M,USA-ME,2017-05-24T14:26:30-04:00,99,ELEC.GEN.COW-ME-99.M,200101,COW,megawatthours,2016,3,6069.22,2016-03-01,1,203470.0,35640.0,19380517.5,3394710.0
