end,f,geography,last_updated,sector,series_id,start,type,units,year,month,generation (MWh),datetime,quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg)
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2017,3,348800.2,2017-03-01,1,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2017,2,310810.21,2017-02-01,1,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2017,1,367318.17,2017-01-01,1,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,12,392436.8,2016-12-01,4,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,11,285831.24,2016-11-01,4,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,10,281646.14,2016-10-01,4,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,9,375804.69,2016-09-01,3,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,8,393104.29,2016-08-01,3,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,7,393957.04,2016-07-01,3,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,6,346176.53,2016-06-01,2,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,5,299127.27,2016-05-01,2,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,4,296228.71,2016-04-01,2,,,0.0,0.0
201703,M,USA-VA,2017-05-24T14:26:30-04:00,99,ELEC.GEN.AOR-VA-99.M,200101,AOR,megawatthours,2016,3,332650.71,2016-03-01,1,,,0.0,0.0
