fuel category,Year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh),State
Coal,2001,111900448.0,1139969000.0,1115681000.0,108582047250.0,106268615250.0,100894810115.0,901.6479551069999,1987.77308183,PA
Coal,2002,113906440.0,1203680000.0,1188358000.0,114650520000.0,113191099500.0,107114573829.0,940.373290827,2073.14695696,PA
Coal,2003,116009874.0,1197416000.0,1181350000.0,114053874000.0,112523587500.0,111076964116.0,957.478534251,2110.85717661,PA
Coal,2004,117175783.34,1208329510.0,1185506310.0,115093385828.0,112919476028.0,111629117652.0,952.6637200160001,2100.24243715,PA
Coal,2005,120933254.4,1249039480.0,1224470420.0,118971010470.0,116630807505.0,113688093075.0,940.0895860999999,2072.52150152,PA
Coal,2006,122557902.58,1268330330.0,1243438620.0,120808463932.0,118437528555.0,114953405661.0,937.95180271,2067.80854425,PA
Coal,2007,122693094.45,1263984790.0,1240184380.0,120394551248.0,118127562195.0,115364176662.0,940.266256868,2072.91098989,PA
Coal,2008,117583411.7,1212537280.0,1190030000.0,115494175920.0,113350357500.0,111416961054.0,947.556797707,2088.98371623,PA
Coal,2009,105474534.44,1094857580.0,1072576330.0,104285184495.0,102162895432.0,101973852446.0,966.8101687999999,2131.42969814,PA
Coal,2010,110369292.1,1145867910.0,1123497510.0,109143918428.0,107013137828.0,108374923308.0,981.9300391039999,2164.76296421,PA
Coal,2011,100603081.53,1051564490.0,1029640000.0,100161517672.0,98073210000.0,98489652317.1,978.992400821,2158.28664685,PA
Coal,2012,87148205.43,919492800.0,897515450.0,87581689200.0,85488346612.5,86409124038.4,991.519258625,2185.90335756,PA
Coal,2013,88443208.97,920500180.0,901566980.0,87677642145.0,85874254845.0,86815699618.2,981.5982553010001,2164.03151364,PA
Coal,2014,78985628.57,830016770.0,814442520.0,79059097342.5,77575650030.0,77678815037.4,983.4550467439999,2168.12499605,PA
Coal,2015,64637232.73,683044340.0,665473260.0,65059973385.0,63386328015.0,64581535000.8,999.1383026960001,2202.70030212,PA
Coal,2016,54453211.66,579296410.0,564639170.0,55177983052.5,53781880942.5,54550509783.5,1001.78682066,2208.53922482,PA
Coal,2017,11901087.07,126891770.0,123137590.0,12086441092.5,11728855447.5,11857978486.6,996.377760856,2196.61441158,PA
Hydro,2001,1650004.0,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2002,2210562.0,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2003,3346268.0,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2004,3155337.92,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2005,2232178.83,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2006,2844142.02,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2007,2235982.04,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2008,2548857.99,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2009,2682865.6,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2010,2332201.0,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2011,3217216.01,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2012,2241920.02,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2013,2524673.01,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2014,2641157.01,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2015,2603704.0,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2016,2376224.15,,,0.0,0.0,0.0,0.0,0.0,PA
Hydro,2017,742298.58,,,0.0,0.0,0.0,0.0,0.0,PA
Natural Gas,2001,3036295.0,38198000.0,28249000.0,2027167860.0,1499174430.0,1423363982.75,468.783165915,1033.47936758,PA
Natural Gas,2002,6715537.0,67604000.0,53918000.0,3587744280.0,2861428260.0,2707815985.24,403.21659835,888.9313127239999,PA
Natural Gas,2003,5518535.0,57265000.0,45770000.0,3039053550.0,2429013900.0,2397786062.48,434.49684789199995,957.8917508630001,PA
Natural Gas,2004,9813646.91,93959990.0,75781510.0,4986456669.3,4021724735.7,3975767506.91,405.126406459,893.14167568,PA
Natural Gas,2005,10807749.84,98081360.0,83532030.0,5205177775.2,4433044832.1,4321194581.92,399.823704832,881.451339672,PA
Natural Gas,2006,13541728.47,118665900.0,104684280.0,6297599313.0,5555594739.6,5392163645.95,398.18872885400003,877.8468716310001,PA
Natural Gas,2007,19197599.54,159699840.0,146666150.0,8475270508.8,7783572580.5,7601489657.06,395.96042417800004,872.9343511430001,PA
Natural Gas,2008,18730606.79,154257070.0,141543890.0,8186422704.9,7511734242.3,7383607956.61,394.200147352,869.0536448519999,PA
Natural Gas,2009,29214954.84,226498370.0,215228860.0,12020268495.9,11422195600.2,11401059884.0,390.247390297,860.3393966489999,PA
Natural Gas,2010,33717608.11,262038610.0,253041300.0,13906389032.7,13428901791.0,13599790000.1,403.343853921,889.211860355,PA
Natural Gas,2011,41792164.96,327246400.0,313056100.0,17366966448.0,16613887227.0,16684433767.6,399.223964195,880.129151464,PA
Natural Gas,2012,53062198.94,419772970.0,398533090.0,22277351517.9,21150151086.3,21377955020.4,402.884830396,888.19989709,PA
Natural Gas,2013,49937702.29,394158020.0,372267230.0,20917966121.4,19756221896.1,19972810580.0,399.954536636,881.739771467,PA
