year,nerc,final co2 (kg),generation (mwh),index,indexlb
2018,ASCC,2972570594.3849998,4625097.016,642.7044847063161,1416.9063069835445
2018,FRCC,99189463503.5379,234362275.5971788,423.2313551777611,933.0558456248922
2018,HICC,7016366696.515001,9095725.035213802,771.3916888814654,1700.6101173080785
2018,MRO,135768390196.1336,231749435.6831516,585.8412979341899,1291.545725425715
2018,NPCC,51292735020.81298,237926990.49969786,215.58182580751853,475.2716931752554
2018,RFC,441946193229.2228,932714350.6214501,473.8280191944751,1044.6012511161398
2018,SERC,497613926666.0652,1113632918.6068676,446.8383776662872,985.0998874030969
2018,SPP,123140024243.8897,242587473.2592636,507.6108118422285,1119.078795787377
2018,TRE,171073518535.10492,405016455.4721236,422.3865875663897,931.1934709488628
2018,WECC,262209239430.75238,727422995.252053,360.46322585649983,794.6772277232395
